Time Elapsed/s,3DBall.Environment.CumulativeReward.mean
0.0110023021697998,1.2063461542129517
13.85291028022766,1.2289320230484009
466.4559035301209,100.00001525878906
106.25873517990112,61.11579895019531
1653.1768026351929,100.00001525878906
1682.1451795101166,69.12354278564453
42.37005496025085,2.2850704193115234
1937.575988531113,2.0656991004943848
421.3858735561371,83.28001403808594
523.7634398937225,3.011986255645752
644.0,100.000015
1279.0,100.000015
607.0,100.000015
705.0,100.000015
877.0,97.6154
2839.0,100.000015
818.0,100.000015
640.0,100.000015
703.0,100.000015
599.0,100.000015
477.0,100.000015
480.0,92.35386
544.0,100.000015
450.0,100.000015
757.0,100.000015
762.0,100.000015
583.0,100.000015
782.0,100.000015
744.0,100.000015
1351.0,100.000015
705.0,100.000015
658.0,100.000015
520.0,100.000015
544.0,100.000015
125.0,2.723567
124.0,6.596796
129.0,3.424528
113.0,14.315587
130.0,9.749075
118.0,11.831113
122.0,50.478269
123.0,21.698117
130.0,28.174363
139.0,36.537506
140.0,38.036673
134.0,53.866675
141.0,50.675007
143.0,38.920696
140.0,43.825007
167.0,56.185724
163.0,78.920012
199.0,33.605561
